Tanggal,USD/IDR,Harga_Minyak
11/05/26,0.057435,105.77
08/05/26,0.057585,107.77
07/05/26,0.057685,104.21
06/05/26,0.057515,101.29
05/05/26,0.057415,100.06
04/05/26,0.057565,101.27
01/05/26,0.057765,109.87
30/04/26,0.057765,114.44
29/04/26,0.057865,108.17
28/04/26,0.058085,114.01
27/04/26,0.05817,118.03
24/04/26,0.05816,111.26
23/04/26,0.05785,108.23
22/04/26,0.05822,105.33
21/04/26,0.058325,99.35
20/04/26,0.058235,96.18
17/04/26,0.058185,93.24
16/04/26,0.058375,90.43
15/04/26,0.058355,90.38
14/04/26,0.058425,99.39
13/04/26,0.058475,94.93
10/04/26,0.05851,94.79
09/04/26,0.058525,99.36
08/04/26,0.058785,95.2
07/04/26,0.058495,95.92
06/04/26,0.058695,94.75
03/04/26,0.058835,109.27
02/04/26,0.058835,109.77
01/04/26,0.05889,109.03
31/03/26,0.058835,101.16
30/03/26,0.058855,118.35
27/03/26,0.05894,112.78
26/03/26,0.059165,112.57
25/03/26,0.05913,108.01
24/03/26,0.05889,102.22
23/03/26,0.05889,100.23
20/03/26,0.05889,95.92
19/03/26,0.05889,106.41
18/03/26,0.05889,103.78
17/03/26,0.05889,102.92
16/03/26,0.058855,99.39
13/03/26,0.059025,96.04
12/03/26,0.0592,103.14
11/03/26,0.05927,100.46
10/03/26,0.059315,91.98
09/03/26,0.059025,87.8
06/03/26,0.05915,98.96
05/03/26,0.059235,92.69
04/03/26,0.05922,85.41
03/03/26,0.059325,81.4
02/03/26,0.059305,81.4
27/02/26,0.059645,77.74
26/02/26,0.05968,72.48
25/02/26,0.05957,70.75
24/02/26,0.05945,70.85
23/02/26,0.059555,70.77
20/02/26,0.05929,71.49
19/02/26,0.059255,71.3
18/02/26,0.059235,71.27
17/02/26,0.059415,69.77
16/02/26,0.059415,66.87
13/02/26,0.059415,67.97
12/02/26,0.059465,67.75
11/02/26,0.05959,67.52
10/02/26,0.059535,69.4
09/02/26,0.05952,68.8
06/02/26,0.05929,69.04
05/02/26,0.059415,68.05
04/02/26,0.059625,67.55
03/02/26,0.05966,69.46
02/02/26,0.059555,67.33
30/01/26,0.05957,66.3
29/01/26,0.059705,70.69
28/01/26,0.05986,70.71
27/01/26,0.059645,68.4
26/01/26,0.05961,67.57
23/01/26,0.059465,65.59
22/01/26,0.05922,65.07
21/01/26,0.059045,63.34
20/01/26,0.05899,64.53
19/01/26,0.059025,64.19
16/01/26,0.05922,63.22
15/01/26,0.05922,64.13
14/01/26,0.059305,63.76
13/01/26,0.05929,66.52
12/01/26,0.059415,65.47
09/01/26,0.05952,63.87
08/01/26,0.059555,63.34
07/01/26,0.05961,61.99
06/01/26,0.059695,59.96
05/01/26,0.05973,60.7
02/01/26,0.059805,61.76
01/01/26,0.059965,60.75
31/12/25,0.059965,60.85
30/12/25,0.05966,61.92
29/12/25,0.05957,61.94
26/12/25,0.05968,60.64
25/12/25,0.05968,61.8
24/12/25,0.05968,61.87
23/12/25,0.059625,61.58
22/12/25,0.059625,60.47
19/12/25,0.05973,59.82
18/12/25,0.05982,59.68
17/12/25,0.05993,58.92
16/12/25,0.05991,60.56
15/12/25,0.06,61.12
12/12/25,0.06009,61.28
11/12/25,0.059985,62.21
10/12/25,0.05993,61.94
09/12/25,0.06,62.49
08/12/25,0.05991,63.75
05/12/25,0.06009,63.26
04/12/25,0.060075,62.67
03/12/25,0.060165,62.45
02/12/25,0.060165,63.17
01/12/25,0.06004,63.2
