"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2026","0.05776500","0.05763500","0.05777500","0.05751000","","-0.17%"
"04/29/2026","0.05786500","0.05787500","0.05791000","0.05767500","","-0.38%"
"04/28/2026","0.05808500","0.05809500","0.05813000","0.05797000","","-0.15%"
"04/27/2026","0.05817000","0.05810000","0.05817500","0.05801000","","0.02%"
"04/24/2026","0.05816000","0.05788000","0.05816000","0.05782000","","0.54%"
"04/23/2026","0.05785000","0.05805000","0.05805000","0.05772500","","-0.64%"
"04/22/2026","0.05822000","0.05828500","0.05831000","0.05818000","","-0.18%"
"04/21/2026","0.05832500","0.05832000","0.05841500","0.05828500","","0.15%"
"04/20/2026","0.05823500","0.05827000","0.05834000","0.05818000","","0.09%"
"04/17/2026","0.05818500","0.05828500","0.05829500","0.05815000","","-0.33%"
"04/16/2026","0.05837500","0.05834500","0.05842500","0.05828500","","0.03%"
"04/15/2026","0.05835500","0.05841500","0.05844000","0.05831000","","-0.12%"
"04/14/2026","0.05842500","0.05839000","0.05842500","0.05832500","","-0.09%"
"04/13/2026","0.05847500","0.05838500","0.05847500","0.05833000","","-0.06%"
"04/10/2026","0.05851000","0.05854000","0.05855500","0.05840000","","-0.03%"
"04/09/2026","0.05852500","0.05868000","0.05872000","0.05847500","","-0.44%"
"04/08/2026","0.05878500","0.05887000","0.05888500","0.05873000","","0.50%"
"04/07/2026","0.05849500","0.05863500","0.05863500","0.05845000","","-0.34%"
"04/06/2026","0.05869500","0.05881500","0.05884500","0.05865500","","-0.24%"
"04/03/2026","0.05883500","0.05883500","0.05883500","0.05883500","","0.00%"
"04/02/2026","0.05883500","0.05885000","0.05888500","0.05872000","","-0.09%"
"04/01/2026","0.05889000","0.05884500","0.05896500","0.05871000","","0.09%"
"03/31/2026","0.05883500","0.05887000","0.05887000","0.05882500","","-0.03%"
"03/30/2026","0.05885500","0.05887000","0.05920000","0.05883000","","-0.14%"
"03/27/2026","0.05894000","0.05908500","0.05908500","0.05891000","","-0.38%"
"03/26/2026","0.05916500","0.05922000","0.05923500","0.05914000","","0.06%"
"03/25/2026","0.05913000","0.05920000","0.05929000","0.05908000","","0.41%"
"03/24/2026","0.05889000","0.05889000","0.05889000","0.05889000","","0.00%"
"03/23/2026","0.05889000","0.05889000","0.05889000","0.05889000","","0.00%"
"03/20/2026","0.05889000","0.05889000","0.05889000","0.05889000","","0.00%"
"03/19/2026","0.05889000","0.05889000","0.05889000","0.05889000","","0.00%"
"03/18/2026","0.05889000","0.05889000","0.05889000","0.05889000","","0.00%"
"03/17/2026","0.05889000","0.05889500","0.05895500","0.05884500","","0.06%"
"03/16/2026","0.05885500","0.05899500","0.05899500","0.05883000","","-0.29%"
"03/13/2026","0.05902500","0.05914000","0.05917500","0.05901000","","-0.30%"
"03/12/2026","0.05920000","0.05916500","0.05924500","0.05913500","","-0.12%"
"03/11/2026","0.05927000","0.05938000","0.05939500","0.05926000","","-0.08%"
"03/10/2026","0.05931500","0.05929000","0.05936500","0.05918500","","0.49%"
"03/09/2026","0.05902500","0.05885500","0.05903500","0.05883500","","-0.21%"
"03/06/2026","0.05915000","0.05910500","0.05916000","0.05905000","","-0.14%"
"03/05/2026","0.05923500","0.05924000","0.05932500","0.05914000","","0.03%"
"03/04/2026","0.05922000","0.05909500","0.05922000","0.05905000","","-0.18%"
"03/03/2026","0.05932500","0.05930500","0.05936000","0.05922000","","0.03%"
"03/02/2026","0.05930500","0.05944000","0.05947000","0.05928000","","-0.57%"
"02/27/2026","0.05964500","0.05963500","0.05965500","0.05955500","","-0.06%"
"02/26/2026","0.05968000","0.05967000","0.05975500","0.05959000","","0.18%"
"02/25/2026","0.05957000","0.05938000","0.05957500","0.05933500","","0.20%"
"02/24/2026","0.05945000","0.05945000","0.05947500","0.05938000","","-0.18%"
"02/23/2026","0.05955500","0.05928500","0.05955500","0.05928500","","0.45%"
"02/20/2026","0.05929000","0.05923000","0.05932500","0.05900500","","0.06%"
"02/19/2026","0.05925500","0.05920500","0.05925500","0.05904000","","0.03%"
"02/18/2026","0.05923500","0.05936000","0.05938500","0.05918500","","-0.30%"
"02/17/2026","0.05941500","0.05941500","0.05941500","0.05941500","","0.00%"
"02/16/2026","0.05941500","0.05941500","0.05941500","0.05941500","","0.00%"
"02/13/2026","0.05941500","0.05945000","0.05945500","0.05932500","","-0.08%"
"02/12/2026","0.05946500","0.05952000","0.05952000","0.05940500","","-0.21%"
"02/11/2026","0.05959000","0.05961000","0.05966500","0.05954000","","0.09%"
"02/10/2026","0.05953500","0.05954000","0.05961500","0.05933500","","0.03%"
"02/09/2026","0.05952000","0.05928500","0.05952000","0.05926000","","0.39%"
"02/06/2026","0.05929000","0.05926000","0.05930500","0.05919000","","-0.21%"
"02/05/2026","0.05941500","0.05957000","0.05958000","0.05939500","","-0.35%"
"02/04/2026","0.05962500","0.05964500","0.05967000","0.05960000","","-0.06%"
"02/03/2026","0.05966000","0.05966500","0.05967000","0.05956500","","0.18%"
"02/02/2026","0.05955500","0.05955500","0.05965000","0.05947500","","-0.03%"
"01/30/2026","0.05957000","0.05954000","0.05960000","0.05946500","","-0.23%"
"01/29/2026","0.05970500","0.05969500","0.05971500","0.05950000","","-0.26%"
"01/28/2026","0.05986000","0.05980500","0.05995000","0.05971500","","0.36%"
"01/27/2026","0.05964500","0.05960000","0.05964500","0.05947500","","0.06%"
"01/26/2026","0.05961000","0.05954000","0.05968000","0.05951000","","0.24%"
"01/23/2026","0.05946500","0.05943000","0.05948500","0.05934500","","0.41%"
"01/22/2026","0.05922000","0.05908000","0.05953500","0.05904500","","0.30%"
"01/21/2026","0.05904500","0.05901000","0.05906500","0.05892000","","0.09%"
"01/20/2026","0.05899000","0.05892500","0.05900000","0.05886000","","-0.06%"
"01/19/2026","0.05902500","0.05925500","0.05925500","0.05898500","","-0.33%"
"01/16/2026","0.05922000","0.05922000","0.05922000","0.05922000","","0.00%"
"01/15/2026","0.05922000","0.05939500","0.05941500","0.05918500","","-0.14%"
"01/14/2026","0.05930500","0.05929000","0.05932000","0.05925000","","0.03%"
"01/13/2026","0.05929000","0.05936000","0.05936000","0.05923500","","-0.21%"
"01/12/2026","0.05941500","0.05938500","0.05941500","0.05931000","","-0.18%"
"01/09/2026","0.05952000","0.05941000","0.05952000","0.05935500","","-0.06%"
"01/08/2026","0.05955500","0.05956000","0.05957000","0.05950000","","-0.09%"
"01/07/2026","0.05961000","0.05966500","0.05968000","0.05955000","","-0.14%"
"01/06/2026","0.05969500","0.05971500","0.05976500","0.05962500","","-0.06%"
